機材区分,商品名,商品コード,単価,見積日付
カメラ,AuroraCam X1 ボディ,CAM-ACX1,378000,2024-10-15
カメラ,AuroraCam X1 ボディ,CAM-ACX1,381000,2024-12-05
カメラ,AuroraCam X1 ボディ,CAM-ACX1,389000,2025-02-14
カメラ,AuroraCam X1 ボディ,CAM-ACX1,394000,2025-03-22
カメラ,AuroraCam X1 ボディ,CAM-ACX1,401000,2025-04-18
カメラ,AuroraCam X1 ボディ,CAM-ACX1,407000,2025-06-27
カメラ,AuroraCam X1 ボディ,CAM-ACX1,415000,2025-07-11
カメラ,AuroraCam X1 ボディ,CAM-ACX1,422000,2025-09-30
カメラ,AuroraCam X1 ボディ,CAM-ACX1,431000,2025-10-21
カメラ,AuroraCam X1 ボディ,CAM-ACX1,439000,2025-12-19
カメラ,AuroraCam X1 ボディ,CAM-ACX1,447000,2026-01-16
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,198000,2024-11-08
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,199500,2024-12-20
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,201000,2025-01-31
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,200500,2025-03-25
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,202000,2025-05-09
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,201800,2025-06-24
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,203000,2025-08-06
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,202500,2025-09-18
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,204000,2025-11-12
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,204800,2025-12-23
レンズ,CrystalZoom 24-70 F2.8,LEN-CZ2470,205500,2026-01-27
音響,WaveLink Duo Pro,AUD-WDP,61200,2024-10-10
音響,WaveLink Duo Pro,AUD-WDP,62400,2024-12-12
音響,WaveLink Duo Pro,AUD-WDP,63500,2025-02-07
音響,WaveLink Duo Pro,AUD-WDP,64100,2025-03-28
音響,WaveLink Duo Pro,AUD-WDP,65400,2025-04-25
音響,WaveLink Duo Pro,AUD-WDP,66200,2025-06-20
音響,WaveLink Duo Pro,AUD-WDP,67400,2025-07-24
音響,WaveLink Duo Pro,AUD-WDP,68200,2025-09-26
音響,WaveLink Duo Pro,AUD-WDP,69500,2025-10-31
音響,WaveLink Duo Pro,AUD-WDP,70300,2025-12-15
音響,WaveLink Duo Pro,AUD-WDP,71600,2026-01-24
照明,LumaPanel 600 BiColor,LGT-LP600,84200,2024-11-01
照明,LumaPanel 600 BiColor,LGT-LP600,84600,2024-12-27
照明,LumaPanel 600 BiColor,LGT-LP600,85100,2025-02-21
照明,LumaPanel 600 BiColor,LGT-LP600,85500,2025-03-14
照明,LumaPanel 600 BiColor,LGT-LP600,86200,2025-05-30
照明,LumaPanel 600 BiColor,LGT-LP600,86700,2025-06-28
照明,LumaPanel 600 BiColor,LGT-LP600,87400,2025-08-22
照明,LumaPanel 600 BiColor,LGT-LP600,87900,2025-09-29
照明,LumaPanel 600 BiColor,LGT-LP600,88700,2025-11-20
照明,LumaPanel 600 BiColor,LGT-LP600,89200,2025-12-30
照明,LumaPanel 600 BiColor,LGT-LP600,89900,2026-01-29
その他,TitanTripod T5,ACC-TT5,36800,2024-10-18
その他,TitanTripod T5,ACC-TT5,36600,2024-12-03
その他,TitanTripod T5,ACC-TT5,36900,2025-02-11
その他,TitanTripod T5,ACC-TT5,36700,2025-03-19
その他,TitanTripod T5,ACC-TT5,37100,2025-04-16
その他,TitanTripod T5,ACC-TT5,37000,2025-06-13
その他,TitanTripod T5,ACC-TT5,37300,2025-07-30
その他,TitanTripod T5,ACC-TT5,37100,2025-09-12
その他,TitanTripod T5,ACC-TT5,37400,2025-10-17
その他,TitanTripod T5,ACC-TT5,37200,2025-12-09
その他,TitanTripod T5,ACC-TT5,37500,2026-01-21
